CRIM,CHAS,RM,AGE,DIS,TAX,LSTAT,MEDV
0.34006,0,6.458,98.9,2.1185,437,12.6,19.2
1.19294,0,6.326,97.7,2.271,437,12.26,19.6
0.59005,0,6.372,97.9,2.3274,437,11.12,23
0.32982,0,5.822,95.4,2.4699,437,15.03,18.4
0.97617,0,5.757,98.4,2.346,437,17.31,15.6
0.55778,0,6.335,98.2,2.1107,437,16.96,18.1
0.32264,0,5.942,93.5,1.9669,437,16.9,17.4
0.35233,0,6.454,98.4,1.8498,437,14.59,17.1
0.2498,0,5.857,NA,1.6686,437,21.32,13.3
0.54452,0,6.151,97.9,1.6687,437,18.46,17.8
0.2909,0,6.174,93.6,1.6119,437,24.16,14
1.62864,0,5.019,100,1.4394,437,34.41,14.4
3.32105,1,5.403,100,1.3216,403,26.82,13.4
4.0974,0,5.468,100,1.4118,403,26.42,15.6
2.77974,0,4.903,97.8,1.3459,403,29.29,11.8
2.37934,0,6.13,100,1.4191,403,27.8,13.8
2.15505,0,5.628,100,1.5166,403,16.65,15.6
2.36862,0,4.926,95.7,1.4608,403,29.53,14.6
2.33099,0,5.186,93.8,1.5296,403,28.32,17.8
2.73397,0,5.597,94.9,1.5257,403,21.45,15.4
1.6566,0,6.122,NA,1.618,403,14.1,21.5
1.49632,0,5.404,100,1.5916,403,13.28,19.6
1.12658,NA,5.012,88,1.6102,403,12.12,15.3
2.14918,0,5.709,98.5,1.6232,403,15.79,19.4
1.41385,1,6.129,96,1.7494,403,15.12,17
3.53501,1,6.152,NA,1.7455,403,15.02,15.6
2.44668,0,5.272,94,1.7364,403,16.14,13.1
1.22358,0,6.943,97.4,1.8773,403,4.59,41.3
1.34284,0,6.066,100,1.7573,403,6.43,24.3
1.42502,0,6.51,100,1.7659,403,7.39,23.3
1.27346,1,6.25,92.6,1.7984,403,5.5,27
1.46336,0,7.489,90.8,1.9709,403,1.73,50
1.83377,1,7.802,98.2,2.0407,403,1.92,50
1.51902,1,8.375,NA,2.162,403,3.32,50
2.24236,0,5.854,91.8,2.422,403,11.64,22.7
2.924,0,6.101,93,2.2834,403,9.81,25
2.01019,0,7.929,96.2,2.0459,403,3.7,50
1.80028,0,5.877,79.2,2.4259,403,12.14,23.8
2.3004,0,6.319,96.1,2.1,403,11.1,23.8
2.44953,0,6.402,95.2,2.2625,403,11.32,22.3
1.20742,0,5.875,94.6,2.4259,403,14.43,17.4
2.3139,0,5.88,97.3,2.3887,403,12.03,19.1
0.13914,0,5.572,88.5,2.5961,296,14.69,23.1
0.09178,0,6.416,NA,2.6463,296,9.04,23.6
0.08447,0,5.859,68.7,2.7019,296,9.64,22.6
0.06664,0,6.546,33.1,3.1323,296,5.33,29.4
0.07022,0,6.02,47.2,3.5549,296,10.11,23.2
0.05425,0,6.315,73.4,3.3175,296,6.29,24.6
0.06642,0,6.86,74.4,2.9153,296,6.92,29.9
0.0578,0,6.98,58.4,2.829,193,5.04,37.2
0.06588,0,7.765,83.3,2.741,193,7.56,39.8
0.06888,0,6.144,62.2,2.5979,193,9.45,36.2
0.09103,0,7.155,92.2,2.7006,193,4.82,37.9
NA,0,6.563,95.6,2.847,193,5.68,32.5
0.08308,0,5.604,89.8,2.9879,193,13.98,26.4
0.06047,0,6.153,68.8,3.2797,193,13.15,29.6
0.05602,0,7.831,53.6,3.1992,193,4.45,50
0.07875,0,6.782,41.1,3.7886,398,6.68,32
0.12579,0,6.556,29.1,4.5667,398,4.56,29.8
0.0837,0,7.185,38.9,4.5667,398,5.39,34.9
0.09068,0,6.951,21.5,6.4798,398,5.1,37
NA,0,6.739,30.8,6.4798,398,4.69,30.5
NA,0,7.178,26.3,6.4798,398,2.87,36.4
0.02187,0,6.8,NA,6.2196,265,5.03,31.1
0.01439,0,6.604,18.8,6.2196,265,4.38,29.1
0.01381,0,7.875,32,5.6484,255,2.97,50
NA,0,7.287,34.1,7.309,329,4.08,33.3
0.04666,0,7.107,36.6,7.309,329,8.61,30.3
0.03768,0,7.274,38.3,7.309,329,6.62,34.6
0.0315,0,6.975,15.3,7.6534,402,4.56,34.9
0.01778,0,7.135,13.9,7.6534,402,4.45,32.9
0.03445,0,6.162,38.4,6.27,348,7.43,24.1
0.02177,0,7.61,15.7,6.27,348,3.11,42.3
0.0351,0,7.853,33.2,5.118,224,3.81,48.5
0.02009,0,8.034,31.9,5.118,224,2.88,50
0.13642,0,5.891,22.3,3.9454,277,10.87,22.6
0.22969,NA,6.326,52.5,4.3549,277,10.97,24.4
0.25199,0,5.783,72.7,4.3549,277,NA,22.5
0.13587,1,6.064,59.1,4.2392,277,14.66,24.4
0.43571,1,5.344,100,3.875,277,23.09,20
0.17446,1,5.96,92.1,3.8771,277,17.27,21.7
0.37578,1,5.404,88.6,3.665,277,23.98,19.3
0.21719,1,5.807,53.8,3.6526,277,16.03,22.4
0.14052,0,6.375,32.3,3.9454,277,9.38,28.1
0.28955,0,5.412,9.8,3.5875,277,29.55,23.7
0.19802,0,6.182,NA,3.9454,277,9.47,25
0.0456,1,5.888,56,3.1121,276,13.51,23.3
0.07013,0,6.642,85.1,3.4211,276,9.69,28.7
0.11069,1,5.951,93.8,2.8893,276,17.92,21.5
0.11425,1,6.373,92.4,3.3633,276,10.5,23
0.35809,1,6.951,88.5,2.8617,307,9.71,26.7
0.40771,1,6.164,91.3,3.048,307,21.46,21.7
0.62356,1,6.879,77.7,3.2721,307,9.93,27.5
0.6147,0,6.618,80.8,3.2721,307,7.6,30.1
0.31533,0,8.266,78.3,2.8944,307,4.14,44.8
0.52693,0,8.725,83,2.8944,307,4.63,50
0.38214,0,8.04,86.5,3.2157,307,NA,37.6
0.41238,0,7.163,79.9,3.2157,307,6.36,31.6
0.29819,0,7.686,17,3.3751,307,NA,46.7
NA,0,6.552,21.4,3.3751,307,3.76,31.5
0.537,0,5.981,68.1,3.6715,307,11.65,24.3
0.46296,0,7.412,76.9,3.6715,307,5.25,31.7
0.57529,0,8.337,73.3,3.8384,307,2.47,41.7
0.33147,0,8.247,NA,3.6519,307,3.95,48.3
0.44791,1,6.726,66.5,3.6519,307,8.05,29
0.33045,0,6.086,61.5,3.6519,307,10.88,24
NA,1,6.631,76.5,4.148,307,9.54,25.1
0.51183,0,7.358,71.6,4.148,307,4.73,31.5
0.08244,0,6.481,18.5,6.1899,300,6.36,23.7
0.09252,0,6.606,42.2,6.1899,300,7.37,23.3
0.11329,NA,6.897,54.3,6.3361,300,11.38,22
NA,0,6.095,65.1,6.3361,300,12.4,20.1
0.1029,0,6.358,52.9,7.0355,300,11.22,22.2
0.12757,0,6.393,7.8,7.0355,300,5.19,23.7
0.20608,0,5.593,76.5,7.9549,330,12.5,17.6
0.19133,NA,5.605,70.2,7.9549,330,18.46,18.5
0.33983,0,6.108,34.9,8.0555,330,9.16,24.3
0.19657,0,6.226,79.2,8.0555,330,10.15,20.5
0.16439,0,6.433,49.1,7.8265,330,9.52,24.5
0.19073,0,6.718,17.5,7.8265,330,6.56,26.2
0.1403,0,6.487,13,7.3967,330,5.9,24.4
0.21409,0,6.438,8.9,7.3967,330,3.59,24.8
0.08221,0,6.957,6.8,8.9067,330,3.53,29.6
0.36894,0,8.259,8.4,8.9067,330,3.54,42.8
0.04819,NA,6.108,32,9.2203,315,6.57,21.9
0.03548,0,5.876,19.1,9.2203,315,9.25,20.9
0.01538,0,7.454,34.2,6.3361,244,3.11,44
0.61154,0,8.704,86.9,1.801,264,5.12,50
0.66351,0,7.333,100,1.8946,264,7.79,36
0.65665,0,6.842,100,2.0107,264,6.9,30.1
0.54011,0,7.203,81.8,2.1121,264,9.59,33.8
0.53412,0,7.52,89.4,2.1398,264,7.26,43.1
NA,0,8.398,91.5,2.2885,264,5.91,48.8
0.82526,0,7.327,94.5,2.0788,264,11.25,31
0.55007,0,7.206,91.6,1.9301,264,8.1,36.5
0.76162,0,5.56,62.8,1.9865,264,10.45,22.8
0.7857,0,7.014,84.6,2.1329,264,14.79,30.7
0.57834,0,8.297,67,2.4216,264,7.44,50
0.5405,0,7.47,52.6,2.872,264,3.16,43.5
0.09065,1,5.92,61.5,3.9175,223,13.65,20.7
0.29916,0,5.856,42.1,4.429,223,13,21.1
0.16211,0,6.24,16.3,4.429,223,NA,25.2
0.1146,0,6.538,58.7,3.9175,223,7.73,24.4
0.22188,1,7.691,51.8,4.3665,223,6.58,35.2
0.05644,1,6.758,32.9,4.0776,254,3.53,32.4
0.09604,0,6.854,42.8,4.2673,254,2.98,32
0.10469,1,7.267,49,4.7872,254,6.05,33.2
0.06127,1,6.826,27.6,4.8628,254,NA,33.1
0.07978,0,6.482,32.1,4.1403,254,7.19,29.1
0.21038,0,6.812,32.2,4.1007,216,4.85,35.1
0.03578,0,7.82,64.5,4.6947,216,3.76,45.4
0.03705,0,6.968,NA,5.2447,216,4.59,35.4
0.06129,1,7.645,49.7,5.2119,216,3.01,46
0.01501,1,7.923,24.8,5.885,198,3.16,50
0.00906,0,7.088,20.8,7.3073,285,7.85,32.2
0.01096,0,6.453,31.9,7.3073,300,8.23,22
0.01965,0,6.23,NA,9.0892,241,12.93,20.1
0.03871,0,6.209,31.3,7.3172,293,7.14,23.2
NA,0,6.315,45.6,7.3172,293,7.6,22.3
0.04297,0,6.565,22.9,7.3172,293,9.51,24.8
0.03502,0,6.861,27.9,5.1167,245,3.33,28.5
0.07886,0,7.148,27.7,5.1167,245,3.56,37.3
0.03615,0,6.63,23.4,5.1167,245,4.7,27.9
0.08265,0,6.127,18.4,5.5027,289,8.58,23.9
0.08199,NA,6.009,42.3,5.5027,289,10.4,21.7
0.12932,0,6.678,31.1,5.9604,289,6.27,28.6
0.05372,0,6.549,51,5.9604,289,7.39,27.1
0.14103,0,5.79,58,6.32,289,15.84,20.3
0.06466,0,6.345,20.1,7.8278,358,4.97,22.5
0.05561,0,7.041,10,7.8278,358,4.74,29
0.04417,0,6.871,47.4,7.8278,358,6.07,24.8
0.03537,0,6.59,40.4,5.4917,329,9.5,22
NA,0,6.495,18.4,5.4917,329,8.67,26.4
0.1,0,6.982,17.7,5.4917,329,4.86,33.1
0.05515,0,7.236,41.1,4.022,222,6.93,36.1
0.05479,0,6.616,58.1,3.37,222,8.93,28.4
0.07503,0,7.42,71.9,3.0992,222,6.47,33.4
0.04932,0,6.849,70.3,3.1827,222,7.53,28.2
0.49298,0,6.635,82.5,3.3175,304,4.54,22.8
0.3494,0,5.972,76.7,3.1025,304,9.97,20.3
2.63548,0,4.973,37.8,2.5194,304,12.64,16.1
0.79041,0,6.122,52.8,2.6403,304,5.98,22.1
0.26169,0,6.023,90.4,2.834,304,11.72,19.4
0.26938,0,6.266,82.8,3.2628,304,7.9,21.6
0.3692,0,6.567,87.3,3.6023,304,9.28,23.8
0.25356,0,5.705,77.7,3.945,304,11.5,16.2
0.31827,0,5.914,NA,3.9986,304,18.33,17.8
0.24522,0,5.782,71.7,4.0317,304,15.94,19.8
0.40202,0,6.382,67.2,3.5325,304,10.36,23.1
0.47547,0,6.113,58.8,4.0019,304,12.73,21
0.1676,0,6.426,52.3,4.5404,287,7.2,23.8
0.18159,0,6.376,54.3,4.5404,287,6.87,23.1
0.35114,0,6.041,49.9,4.7211,287,7.7,20.4
0.28392,0,5.708,74.3,4.7211,287,11.74,18.5
0.34109,0,6.415,40.1,4.7211,287,6.12,25
0.19186,0,6.431,14.7,5.4159,287,5.08,24.6
0.30347,0,6.312,28.9,5.4159,287,6.15,23
0.24103,0,6.083,43.7,5.4159,287,12.79,22.2
0.06617,0,5.868,25.8,5.2146,430,9.97,19.3
0.06724,0,6.333,17.2,5.2146,430,7.34,22.6
0.04544,0,6.144,32.2,5.8736,430,9.09,19.8
0.05023,0,5.706,28.4,6.6407,304,12.43,17.1
0.03466,0,6.031,23.3,6.6407,304,7.83,19.4
0.05083,0,6.316,38.1,6.4584,224,5.68,22.2
0.03738,0,6.31,38.5,6.4584,224,6.75,20.7
0.03961,0,6.037,34.5,5.9853,224,8.01,21.1
0.03427,0,5.869,46.3,5.2311,224,9.8,19.5
0.03041,0,5.895,59.6,5.615,224,10.56,18.5
0.03306,0,6.059,37.3,4.8122,224,8.51,20.6
0.05497,0,5.985,45.4,4.8122,224,9.74,19
0.06151,0,5.968,58.5,4.8122,224,9.29,18.7
0.01301,0,7.241,49.3,7.0379,284,5.49,32.7
0.02498,0,6.54,59.7,6.2669,422,8.65,16.5
0.02543,0,6.696,56.4,5.7321,370,7.18,23.9
0.03049,0,6.874,28.1,6.4654,370,4.61,31.2
0.03113,0,6.014,48.5,8.0136,352,10.53,17.5
0.06162,0,5.898,52.3,8.0136,352,12.67,17.2
0.0187,0,6.516,27.7,8.5353,351,6.36,23.1
0.01501,0,6.635,29.7,8.344,280,5.99,24.5
0.02899,0,6.939,34.5,8.7921,335,NA,26.6
0.06211,0,6.49,44.4,8.7921,335,NA,22.9
0.0795,0,6.579,35.9,10.7103,411,5.49,24.1
0.07244,0,5.884,18.5,10.7103,411,7.79,18.6
0.01709,0,6.728,36.1,12.1265,187,4.5,30.1
0.04301,0,5.663,21.9,10.5857,334,8.05,18.2
0.10659,0,5.936,NA,10.5857,334,5.57,20.6
8.98296,1,6.212,97.4,2.1222,666,17.6,17.8
3.8497,1,6.395,91,2.5052,666,13.27,21.7
5.20177,1,6.127,83.4,2.7227,666,11.48,22.7
4.26131,0,6.112,81.3,2.5091,666,12.67,22.6
4.54192,0,6.398,88,2.5182,666,7.79,25
3.83684,0,6.251,91.1,2.2955,666,14.19,19.9
3.67822,0,5.362,96.2,2.1036,666,10.19,20.8
4.22239,1,5.803,89,1.9047,666,14.64,16.8
3.47428,1,8.78,82.9,1.9047,666,5.29,21.9
4.55587,0,3.561,87.9,1.6132,666,7.12,27.5
3.69695,0,4.963,91.4,1.7523,666,14,21.9
13.5222,NA,3.863,100,1.5106,666,13.33,23.1
4.89822,0,4.97,NA,1.3325,666,3.26,50
NA,1,6.683,96.8,1.3567,666,3.73,50
6.53876,1,7.016,97.5,1.2024,666,2.96,50
9.2323,0,6.216,100,1.1691,666,9.53,50
8.26725,1,5.875,89.6,1.1296,666,8.88,50
11.1081,0,4.906,100,1.1742,666,34.77,13.8
18.4982,0,4.138,100,1.137,666,37.97,13.8
19.6091,0,7.313,97.9,1.3163,666,13.44,15
15.288,NA,6.649,93.3,1.3449,666,NA,13.9
9.82349,0,6.794,98.8,1.358,666,21.24,13.3
23.6482,0,6.38,96.2,1.3861,666,23.69,13.1
17.8667,0,6.223,100,1.3861,666,21.78,10.2
88.9762,0,6.968,91.9,1.4165,666,17.21,10.4
15.8744,0,6.545,99.1,1.5192,666,21.08,10.9
9.18702,0,5.536,100,1.5804,666,23.6,11.3
7.99248,0,5.52,100,1.5331,666,NA,12.3
20.0849,0,4.368,91.2,1.4395,666,30.63,8.8
16.8118,0,5.277,98.1,1.4261,666,30.81,7.2
24.3938,0,4.652,100,1.4672,666,28.28,10.5
22.5971,0,5,89.5,1.5184,666,31.99,7.4
14.3337,NA,4.88,100,1.5895,666,30.62,10.2
8.15174,0,5.39,98.9,1.7281,666,20.85,11.5
6.96215,0,5.713,97,1.9265,666,17.11,15.1
5.29305,0,6.051,82.5,2.1678,666,18.76,23.2
11.5779,0,5.036,97,1.77,666,25.68,9.7
NA,0,6.193,92.6,1.7912,666,15.17,13.8
NA,0,5.887,94.7,1.7821,666,16.35,12.7
8.71675,0,6.471,98.8,1.7257,666,17.12,13.1
5.87205,0,6.405,96,1.6768,666,19.37,12.5
7.67202,0,5.747,98.9,1.6334,666,19.92,8.5
38.3518,0,5.453,100,1.4896,666,30.59,5
9.91655,0,5.852,77.8,1.5004,666,29.97,6.3
25.0461,0,5.987,100,1.5888,666,26.77,5.6
14.2362,NA,6.343,100,1.5741,666,20.32,7.2
9.59571,0,6.404,100,1.639,666,20.31,12.1
24.8017,0,5.349,96,1.7028,666,19.77,8.3
41.5292,0,5.531,85.4,1.6074,666,27.38,8.5
67.9208,0,5.683,100,1.4254,666,22.98,5
20.7162,0,4.138,100,1.1781,666,23.34,11.9
11.9511,0,5.608,100,1.2852,666,NA,27.9
7.40389,0,5.617,97.9,1.4547,666,26.4,17.2
NA,0,6.852,100,1.4655,666,19.78,27.5
51.1358,0,5.757,100,1.413,666,10.11,15
14.0507,0,6.657,100,1.5275,666,21.22,17.2
18.811,0,4.628,100,1.5539,666,34.37,17.9
28.6558,0,5.155,100,1.5894,666,20.08,16.3
45.7461,0,4.519,100,1.6582,666,36.98,7
18.0846,0,6.434,100,1.8347,666,29.05,7.2
10.8342,0,6.782,90.8,1.8195,666,25.79,7.5
25.9406,0,5.304,89.1,1.6475,666,26.64,10.4
73.5341,0,5.957,100,1.8026,666,20.62,8.8
11.8123,0,6.824,76.5,1.794,666,22.74,8.4
11.0874,0,6.411,100,1.8589,666,15.02,16.7
7.02259,0,6.006,95.3,1.8746,666,15.7,14.2
12.0482,0,5.648,87.6,1.9512,666,14.1,20.8
7.05042,0,6.103,NA,2.0218,666,23.29,13.4
8.79212,0,5.565,70.6,2.0635,666,17.16,11.7
15.8603,0,5.896,95.4,1.9096,666,24.39,8.3
NA,0,5.837,59.7,1.9976,666,15.69,10.2
37.6619,0,6.202,78.7,1.8629,666,14.52,10.9
7.36711,0,6.193,78.1,1.9356,666,21.52,11
9.33889,0,6.38,NA,1.9682,666,24.08,9.5
NA,0,6.348,86.1,2.0527,666,17.64,14.5
10.0623,0,6.833,94.3,2.0882,666,19.69,14.1
6.44405,0,6.425,74.8,2.2004,666,12.03,16.1
5.58107,0,6.436,87.9,2.3158,666,16.22,14.3
13.9134,0,6.208,95,2.2222,666,15.17,11.7
11.1604,0,6.629,94.6,2.1247,666,23.27,13.4
14.4208,0,6.461,93.3,2.0026,666,18.05,9.6
15.1772,0,6.152,100,1.9142,666,26.45,8.7
13.6781,0,5.935,87.9,1.8206,666,34.02,8.4
9.39063,0,5.627,93.9,1.8172,666,22.88,12.8
22.0511,0,5.818,92.4,1.8662,666,NA,10.5
9.72418,0,6.406,97.2,2.0651,666,NA,17.1
5.66637,NA,6.219,100,2.0048,666,16.59,18.4
9.96654,0,6.485,100,1.9784,666,18.85,15.4
12.8023,0,5.854,96.6,1.8956,666,23.79,10.8
10.6718,0,6.459,94.8,1.9879,666,23.98,11.8
6.28807,0,6.341,96.4,2.072,666,17.79,14.9
9.92485,0,6.251,96.6,2.198,666,16.44,12.6
9.32909,0,6.185,98.7,2.2616,666,18.13,14.1
7.52601,0,6.417,98.3,2.185,666,19.31,13
6.71772,NA,6.749,92.6,2.3236,666,17.44,13.4
5.44114,0,6.655,NA,2.3552,666,17.73,15.2
5.09017,0,6.297,91.8,2.3682,666,17.27,16.1
8.24809,0,7.393,99.3,2.4527,666,16.74,17.8
9.51363,0,6.728,94.1,2.4961,666,18.71,14.9
4.75237,0,6.525,86.5,2.4358,666,18.13,14.1
4.66883,0,5.976,87.9,2.5806,666,19.01,12.7
8.20058,0,5.936,80.3,2.7792,666,16.94,13.5
7.75223,0,6.301,83.7,2.7831,666,16.23,14.9
6.80117,0,6.081,84.4,2.7175,666,14.7,20
NA,0,6.701,90,2.5975,666,16.42,16.4
3.69311,0,6.376,88.4,2.5671,666,14.65,17.7
6.65492,0,6.317,83,2.7344,666,13.99,19.5
5.82115,0,6.513,89.9,2.8016,666,10.29,20.2
7.83932,0,6.209,65.4,2.9634,666,13.22,21.4
NA,NA,5.759,48.2,3.0665,666,14.13,19.9
3.77498,0,5.952,84.7,2.8715,666,17.15,19
4.42228,0,6.003,94.5,2.5403,666,21.32,19.1
15.5757,0,5.926,71,2.9084,666,18.13,19.1
13.0751,0,5.713,56.7,2.8237,666,14.76,20.1
4.34879,0,6.167,84,3.0334,666,16.29,19.9
4.03841,0,6.229,90.7,3.0993,666,12.87,19.6
3.56868,0,6.437,75,2.8965,666,14.36,23.2
4.64689,0,6.98,67.6,2.5329,666,NA,29.8
8.05579,0,5.427,95.4,2.4298,666,18.14,13.8
6.39312,0,6.162,97.4,2.206,666,24.1,13.3
4.87141,0,6.484,93.6,2.3053,666,18.68,16.7
15.0234,0,5.304,97.3,2.1007,666,24.91,12
10.233,0,6.185,96.7,2.1705,666,18.03,14.6
14.3337,NA,6.229,88,1.9512,666,13.11,21.4
5.82401,0,6.242,64.7,3.4242,666,10.74,23
5.70818,0,6.75,74.9,3.3317,666,7.74,23.7
5.73116,NA,7.061,77,3.4106,666,7.01,25
